rt,response,time_elapsed,trial,distractor,target,type,id
3621.9899999996414,dice,97437,10,I,H,known,11
3723.2999999978347,hat,101262,11,5,3,unknown,11
4705.88499999576,toy,106070,12,12,9,unknown,11
3641.8400000038673,statue,109814,13,10,1,unknown,11
5591.9750000030035,plastic,115510,14,11,6,unknown,11
4159.834999998566,chew toy,119772,15,11,4,unknown,11
26506.665000000794,chew toy,146381,16,2,4,unknown,11
3600.5499999955646,chew toy,150084,17,7,4,unknown,11
3494.780000000901,toy,153681,18,4,8,unknown,11
8359.469999999419,bird,20571,1,practiceDistractor1,practiceTarget1,practice,29
4064.7700000008626,plane,24740,2,practiceDistractor2,practiceTarget2,practice,29
11078.075000001263,button,35924,3,7,12,known,29
4314.454999999725,hat,40344,4,6,3,known,29
4803.0650000000605,a game,45253,5,1,11,known,29
11382.055000001856,something to hold flowers in,56741,6,8,2,known,29
7809.925000001385,something used to cook food,64657,7,8,9,known,29
5660.905000000639,something used to cook food,70422,8,5,9,known,29
7942.60999999824,something used to cook food,78470,9,10,9,known,29
6039.974999999686,a dog toy,84616,10,9,4,known,29
3401.929999999993,a dice,88123,11,E,H,unknown,29
3249.120000000403,a ring,91476,12,B,F,unknown,29
2510.0800000000163,a pen,94091,13,L,D,unknown,29
7174.834999997984,something you eat with,101376,14,C,G,unknown,29
2707.559999998921,a tree,104191,15,C,J,unknown,29
2281.4149999976507,tree,106577,16,A,J,unknown,29
2005.635000001348,tree,108686,17,I,J,unknown,29
3629.1049999999814,butterfly,112423,18,J,K,unknown,29
9086.970000062138,A bird that is often in cities,175342,1,practiceDistractor1,practiceTarget1,practice,20
18652.780000003986,A large metal flying machine,194098,2,practiceDistractor2,practiceTarget2,practice,20
31564.814999932423,abstract desert looking structure,225766,3,2,7,known,20
13654.95999995619,It looks like a air pump with a handle,239524,4,9,6,known,20
26923.214999958873,A sculpture that looks like a weight with jacks on the end,266550,5,1,5,known,20
24712.309999973513,A 3d puzzle looking type of structure with blunt ends,291366,6,8,11,known,20
23315.650000004098,Looks like a fan sculpture,314785,7,8,3,known,20
7316.20500003919,A fan shaped sculpture,322205,8,4,3,known,20
10091.104999999516,It looks like a stack of papers falling,332398,9,10,3,known,20
6775.365000008605,Kind of like a top,339276,10,3,12,known,20
16307.204999960959,A hairy animal that meows,355686,11,L,B,unknown,20
4791.365000070073,something you sit on,360580,12,G,E,unknown,20
11223.259999998845,it starts out as a catterpillar,371906,13,J,K,unknown,20
13473.084999946877,you wear it on your feet to go outside,385481,14,F,C,unknown,20
11806.45499995444,a writing utensil that has ink,397392,15,F,D,unknown,20
8878.32499993965,a writing object with ink inside,406373,16,A,D,unknown,20
9273.410000023432,a writing utensil with ink,415750,17,H,D,unknown,20
13815.715000033379,a small machine we drive in,429668,18,D,I,unknown,20
8045.429999998305,bird,30981,1,practiceDistractor1,practiceTarget1,practice,19
2143.0549999931827,plane,33226,2,practiceDistractor2,practiceTarget2,practice,19
8198.299999989104,tool,41530,3,2,6,known,19
4337.124999961816,weights,45970,4,3,5,known,19
13879.825000010896,tampon,59985,5,12,7,known,19
3320.164999982808,rattle,63409,6,8,10,known,19
2825.5000000353903,dark,66337,7,8,11,known,19
2977.545000030659,notspike,69417,8,4,11,known,19
4585.54500003811,ball,74105,9,1,11,known,19
6528.4499999834225,rattle,80736,10,11,9,known,19
1689.3200000049546,tree,82529,11,D,J,unknown,19
1417.8500000271015,car,84048,12,A,I,unknown,19
1737.7550000092015,fork,85888,13,K,G,unknown,19
1577.5499999872409,shoe,87568,14,E,C,unknown,19
1808.1399999791756,flower,89480,15,E,L,unknown,19
1825.0150000094436,flower,91408,16,H,L,unknown,19
1905.1999999792315,flower,93416,17,B,L,unknown,19
1745.7849999773316,ring,95265,18,L,F,unknown,19
7379.895000020042,bird,34415,1,practiceDistractor1,practiceTarget1,practice,3
4129.420000012033,airplane,38649,2,practiceDistractor2,practiceTarget2,practice,3
10439.359999960288,chef hat,49191,3,1,3,known,3
29624.580000003334,gobstopper,78919,4,2,8,known,3
5698.815000010654,loop,84721,5,5,7,known,3
87051.86000000685,gobstobber,171884,6,10,11,known,3
3875.5200000014156,cactus,175862,7,10,4,known,3
4024.9300000141375,cactus,179990,8,12,4,known,3
3720.369999995455,cactus,183814,9,6,4,known,3
10644.394999952056,plunge,194551,10,4,9,known,3
2959.919999993872,pen,197616,11,K,D,unknown,3
1550.8000000263564,tree,199270,12,I,J,unknown,3
4049.330000008922,dice,203422,13,A,H,unknown,3
5075.725000002421,sunflower,208601,14,G,L,unknown,3
3725.655000016559,dress shoe,212430,15,G,C,unknown,3
5357.785000000149,shoe,217892,16,B,C,unknown,3
1903.374999994412,shoe,219898,17,E,C,unknown,3
4126.6450000111945,ring,224128,18,C,F,unknown,3
6376.040000002831,Pigeon,27610,1,practiceDistractor1,practiceTarget1,practice,4
4953.600000008009,Airplane,32669,2,practiceDistractor2,practiceTarget2,practice,4
4728.464999992866,Waves,37505,3,2,3,known,4
6840.299999981653,Three Handles,44456,4,10,9,known,4
5216.195000044536,Robot head,49778,5,1,8,known,4
9534.325000015087,Top with cover,59418,6,11,12,known,4
12417.98500000732,Bar Bell,71942,7,11,5,known,4
5235.935000004247,Dark Bar Bell,77284,8,4,5,known,4
3742.4750000354834,Dark Bar Bell,81131,9,6,5,known,4
13059.890000033192,Narrow board with arch,94298,10,5,7,known,4
4774.635000037961,Small black shoe,99182,11,I,C,unknown,4
3296.539999952074,Butterfly,102584,12,A,K,unknown,4
2047.4799999501556,Ring,104736,13,B,F,unknown,4
1878.7100000190549,Dice,106721,14,L,H,unknown,4
2751.589999999851,Pen,109581,15,L,D,unknown,4
2221.109999984037,Pen,111907,16,G,D,unknown,4
1889.9500000406988,Pen,113901,17,E,D,unknown,4
3996.080000011716,Christmas Tree,118004,18,D,J,unknown,4
6943.635000032373,pigeon,44027,1,practiceDistractor1,practiceTarget1,practice,17
5317.070000048261,airplane,49447,2,practiceDistractor2,practiceTarget2,practice,17
11561.205000034533,exploded white plastic,61111,3,9,8,known,17
8951.220000046305,black cross blob,70166,4,7,11,known,17
6893.634999985807,odd shaped weight,77163,5,10,5,known,17
7892.545000009704,weird chefs hat,85159,6,1,3,known,17
9799.094999965746,sideways plastic basket,95063,7,1,6,known,17
7577.564999985043,sideways plastic basket,102745,8,2,6,known,17
8095.209999999497,sideways plastic basket,110944,9,12,6,known,17
14469.204999972135,white y shape cactus,125516,10,6,4,known,17
4208.920000004582,sunflower,129829,11,A,L,unknown,17
3151.3450000202283,die,133083,12,E,H,unknown,17
3343.295000027865,pen,136530,13,J,D,unknown,17
5407.465000054799,small hatchback car,142041,14,B,I,unknown,17
10807.764999975916,ring big stone in middle,152953,15,B,F,unknown,17
6692.029999976512,ring big stone in center,159750,16,G,F,unknown,17
5538.569999975152,ring big stone in center,165391,17,C,F,unknown,17
5955.579999950714,white butterfly,171451,18,F,K,unknown,17
32588.45999999903,It is something that sits on a power line sometime and also can fly,252194,1,practiceDistractor1,practiceTarget1,practice,32
